Item #,Quantity,Reference Des.,Description / Value,MFG Part #,LCSC Part #,Package,Description,Pads,Qty,,LABEL01,LABEL02,LABEL03,LABEL04,LABEL05,LABEL06,LABEL07,LABEL08,LABEL09,LABEL10,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,POPULARITY,POPULATE,PROD_ID,SPICEPREFIX,TP_SIGNAL_NAME,URL,VALUE
1,1,B1,DNP,DNP,DNP,DNP,DNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,"C1, C4, C9, C22-24",0.1uF,C0805B104K500NT ,C476766 ,0805-NO,1ÂµF ceramic capacitors,2,,12,,,,,,,,,,,,,,,,,,,,,CAP-08064,,,,1.0uF
3,3,"C2, C7, C8, C14",10uF,CL21A106KPFNNNE ,C17024 ,0805-NO,1ÂµF ceramic capacitors,2,,6,,,,,,,,,,,,,,,,,,,,,CAP-08064,,,,1.0uF
4,1,C3,2.2uF,GRM219R71C225KE15D ,C86034 ,0805-NO,1ÂµF ceramic capacitors,2,,2,,,,,,,,,,,,,,,,,,,,,CAP-08064,,,,1.0uF
5,4,"C5, C10, C11, C13",1.0uF,CL21B105KBFNNNE ,C28323 ,0805-NO,1ÂµF ceramic capacitors,2,,8,,,,,,,,,,,,,,,,,,,,,CAP-08064,,,,1.0uF
6,1,C6,100uF,JMK325BJ107MM-T ,C191180 ,1210,"CAPACITOR, American symbol",2,,2,,,,,,,,,,,,,,,,,,,6,,,C,,,
8,1,C15,1uF,CL10A105KO8NNNC ,C1592 ,0603-NO,Ceramic Capacitors,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,"C16-C21, C25, C28-31",.1u,06035G104ZAT2A ,C143639 ,0603-NO,Ceramic Capacitors,2,,20,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,"C26, C27",22pF,0805CG220J500NT ,C24658 ,0805-NO,1ÂµF ceramic capacitors,2,,4,,,,,,,,,,,,,,,,,,,,,CAP-08064,,,,1.0uF
11,1,D1,MM3Z24VT1G,MM3Z24VT1G ,C463816 ,SOD323-W,DIODE,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,D2,MBR0540,MBR0540 ,C232833 ,SOD-123,Diode,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,DE9FEMALE,DNP,EDGEMOUNTDE9,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,FPC50CONN,50PINFPC,Amphenol ICC / FCI 62684-501100ALF ,C180244 ,62684-501100ALF,,52,,52,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,IC1,ATSAMD51N19A-AU,ATSAMD51N19A-AU,,QFP50P1600X1600X120-100N,ARM Microcontrollers - MCU 120MHZ 512KB FLASH 1 00 TQFP PKG 85C,100,,100,,,,,,,,,,,Microchip,ATSAMD51N19A-AU,,556-ATSAMD51N19AAU,https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATSAMD51N19A-AU?qs=HXFqYaX1Q2xcdk4pqJrDrA%3D%3D,,,,,,,,,,
16,1,L1,6.8uH,TDK VLS5045EX-6R8M ,C434837 ,INDUCTOR_5X5MM_TDK_VLC5045,Inductors,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,L2,6.8uH power L CID 2276,Würth Elektronik 74404052068 ,,INDUCTOR_5X5MM_NR5040_NOTHERMALS,Inductors,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,L3,10uH,Taiyo Yuden CBC2518T100K ,C271756 ,INDUCTOR_1007,Inductors,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,"LED1, LED2, LED3",LOW BATT,17-21SURC/S530-A3/TR8 ,C72037 ,0805-NO,LED,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,
