UNSHIFTED,Column 0,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,,,UNSHIFTED,Column 0,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
Row 0,27,31,32,33,34,35,36,,,Row 0,K_ESC,1,2,3,4,5,6
Row 1,,113,119,65,114,116,121,,,Row 1,K_SETUP,Q,W,E,R,T,Y
Row 2,9,,,97,115,100,102,,,Row 2,K_TAB,K_CAPS,K_CONTROL,A,S,D,F
Row 3,,,122,120,99,118,98,,,Row 3,K_NSCL,K_LSHIFT,Z,X,C,V,B
Row 4,,,,,32,110,109,,,Row 4,K_RALT,K_RMETA,K_LMETA,K_LALT,K_SPACE,N,M
Row 5,37,38,96,,,,,,,Row 5,7,8,9,K_LEFT,K_DOWN,K_UP,K_RIGHT
Row 6,117,105,48,45,61,39,,,,Row 6,U,I,0,K_USCORE,K_PLUS,K_TILDE,K_BACK
Row 7,103,104,111,112,91,93,,,,Row 7,G,H,O,P,{,},K_BREAK
Row 8,106,107,108,59,39,12,,,,Row 8,J,K,L,K_SEMI,K_QUOTE,K_RETURN,K_DEL
Row 9,44,,46,47,,92,10,,,Row 9,K_<,,K_>,K_?,K_RSHIFT,K_PIPE,K_LINE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SHIFT,Column 0,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,,,SHIFT,Column 0,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
Row 0,27,31,32,33,34,35,36,,,Row 0,K_ESC,1,2,3,4,5,6
Row 1,,113,119,65,114,116,121,,,Row 1,K_SETUP,Q,W,E,R,T,Y
Row 2,9,,,97,115,100,102,,,Row 2,K_TAB,K_CAPS,K_CONTROL,A,S,D,F
Row 3,,,122,120,99,118,98,,,Row 3,K_NSCL,K_LSHIFT,Z,X,C,V,B
Row 4,,,,,32,110,109,,,Row 4,K_RALT,K_RMETA,K_LMETA,K_LALT,K_SPACE,N,M
Row 5,37,38,96,,,,,,,Row 5,7,8,9,K_LEFT,K_DOWN,K_UP,K_RIGHT
Row 6,117,105,48,45,61,39,,,,Row 6,U,I,0,K_USCORE,K_PLUS,K_TILDE,K_BACK
Row 7,103,104,111,112,91,93,,,,Row 7,G,H,O,P,{,},K_BREAK
Row 8,106,107,108,59,39,12,,,,Row 8,J,K,L,K_SEMI,K_QUOTE,K_RETURN,K_DEL
Row 9,44,,46,47,,92,10,,,Row 9,K_<,,K_>,K_?,K_RSHIFT,K_PIPE,K_LINE
